F1,F2,F3,F4,F5,X,Y,Z,C1,C2,cl
597,601,538,630,434,15,200,54,0,1,time
487,498,860,669,875,27,208,79,0,0,him
530,814,440,570,601,175,151,173,1,1,s
348,824,806,456,381,73,87,140,1,1,a
353,855,812,481,379,74,120,144,1,1,a
450,651,831,448,646,217,210,184,1,0,x
393,432,392,389,467,34,48,31,1,0,e
433,567,479,770,410,190,184,34,1,1,thirty
898,512,880,424,668,63,198,174,1,0,hate
398,631,547,444,897,212,216,52,0,0,n
414,491,804,516,662,103,193,178,0,1,water
653,411,454,508,569,109,60,207,0,1,why
504,473,728,518,889,118,195,212,1,0,apple
704,440,464,524,631,138,43,217,0,1,why
588,593,736,396,686,156,227,87,1,0,t
497,664,444,354,479,68,226,188,1,0,her
340,804,826,466,372,64,90,159,1,1,a
870,415,849,375,643,62,210,152,1,0,hate
372,669,869,440,408,88,216,42,1,1,hand
824,362,522,757,537,128,76,190,0,0,how
653,858,617,591,621,129,63,49,1,0,q
801,406,751,397,514,118,222,88,1,0,year
719,449,483,834,799,249,59,170,0,1,half
719,457,525,862,822,221,65,168,0,1,half
597,832,706,444,497,72,50,211,0,0,has
373,545,606,392,887,218,233,162,0,1,when
814,411,375,845,799,214,180,97,1,0,he
526,627,752,545,815,50,255,32,0,0,which
820,383,761,397,550,128,233,73,1,0,year
601,567,515,598,781,85,63,95,0,1,hands
768,823,463,532,484,58,55,163,0,1,five
464,790,729,804,631,46,136,74,0,1,sixty
458,588,487,409,887,186,212,44,0,0,n
741,567,745,882,817,200,182,139,1,0,food
781,891,539,776,426,71,132,217,0,0,take
840,407,333,800,723,75,189,166,0,1,nine
785,886,504,743,443,67,137,224,0,0,take
379,456,518,770,551,98,205,225,0,0,hair
766,544,760,730,750,165,217,194,1,1,z
380,478,763,568,624,214,101,198,0,1,d
385,528,641,346,877,233,213,174,0,1,when
344,448,541,749,587,70,219,225,0,0,hair
831,358,318,876,730,112,182,165,0,1,nine
633,466,405,932,433,122,91,48,0,1,y
803,836,737,410,684,169,84,127,1,0,r
729,456,697,644,489,232,71,141,0,0,or
360,691,381,695,623,144,103,61,0,1,hello
779,828,493,570,402,37,69,181,0,1,five
857,497,737,722,863,21,105,165,0,1,p
461,491,867,716,846,47,179,92,0,1,him
377,464,659,346,816,217,195,138,0,1,when
514,796,452,575,607,152,153,147,1,1,s
430,849,468,522,426,87,97,137,0,1,hours
686,690,465,825,852,125,190,154,0,1,happy
383,661,360,703,585,162,130,45,0,1,hello
640,740,500,461,751,199,66,105,1,0,g
373,560,479,759,429,190,194,31,0,1,thirty
719,371,631,864,553,67,89,58,0,1,h
784,510,681,868,841,222,183,130,1,1,food
432,600,813,432,584,225,185,185,1,0,x
860,471,887,374,650,57,197,158,1,0,hate
611,583,498,582,816,82,69,74,0,1,hands
570,468,584,417,537,63,65,215,0,1,hungry
549,448,726,574,863,130,165,185,1,0,apple
439,486,744,532,672,145,197,177,0,1,water
625,781,576,560,635,102,57,24,1,0,q
334,668,353,682,626,117,131,27,0,1,hello
887,599,840,604,735,34,169,87,0,0,four
666,564,538,800,701,50,210,85,0,1,o
466,814,760,853,619,145,187,21,1,0,their
761,882,505,773,456,56,149,214,0,0,take
500,594,706,476,850,38,217,39,0,1,seven
884,322,571,779,534,149,57,201,1,0,how
603,690,852,682,928,186,91,148,1,1,f
622,598,601,418,472,194,213,195,0,0,hour
591,885,579,696,366,110,38,129,1,0,opposite
604,566,554,626,833,70,68,103,0,1,hands
846,436,464,447,859,27,162,148,1,0,heavy
608,813,700,472,822,29,156,41,1,0,drink
522,639,674,444,435,113,92,132,1,0,u
601,618,475,610,803,87,82,85,1,1,hands
629,399,534,605,862,72,11,66,1,0,other
651,463,430,903,467,85,97,75,0,1,y
659,349,502,561,874,79,27,73,1,0,other
798,561,706,759,750,180,194,194,1,1,z
686,386,627,918,568,41,74,42,0,1,h
440,838,428,507,899,81,168,110,0,0,three
695,522,733,560,366,52,96,31,1,0,hat
852,359,369,804,775,239,170,95,1,0,he
721,853,426,455,770,72,186,102,0,1,i
482,386,405,386,750,120,140,220,0,0,outside
386,684,324,724,645,139,115,19,1,1,hello
707,835,599,574,631,120,62,61,1,0,q
394,745,797,444,463,90,209,68,1,1,hand
544,871,396,740,732,173,42,74,0,1,one
611,526,496,417,446,183,122,208,0,0,six
607,607,548,648,425,16,201,82,0,1,time
607,408,592,595,869,69,95,58,1,0,eight
574,864,439,702,681,129,38,84,0,1,one
812,348,341,846,770,89,212,182,0,1,nine
766,854,422,667,467,133,170,200,1,1,once
578,912,602,620,380,108,39,144,1,0,opposite
908,523,741,778,889,28,61,169,0,1,p
641,656,494,833,377,33,74,25,1,1,age
436,605,795,441,579,206,212,165,0,1,x
696,813,434,437,815,46,202,84,0,0,i
583,532,522,382,425,170,110,188,1,0,six
630,460,848,892,664,124,84,216,0,0,home
509,582,446,391,473,230,207,48,1,1,them
350,458,823,547,576,180,79,172,1,1,d
419,357,825,470,405,100,58,107,0,1,no
882,480,850,397,578,63,226,170,0,0,hate
902,526,727,737,865,10,81,158,0,1,p
728,571,738,536,341,68,109,68,1,0,hat
768,891,411,683,429,119,171,201,1,1,once
395,555,643,397,857,239,230,169,0,1,when
483,549,458,378,447,217,227,44,0,1,them
376,775,860,484,341,65,109,145,1,1,a
528,640,684,428,444,113,106,151,1,0,u
700,425,560,595,898,55,19,51,1,0,other
666,726,494,436,482,12,19,192,1,1,house
557,470,474,540,499,58,175,80,0,0,yesterday
858,838,626,458,323,186,191,106,0,1,have
627,836,604,553,617,137,69,43,1,0,q
723,862,446,461,744,70,207,87,0,0,i
843,391,522,742,538,145,63,202,1,0,how
458,886,851,901,389,83,124,195,0,0,twenty
387,409,496,744,560,94,232,205,0,0,hair
734,784,739,527,824,208,45,178,0,1,v
500,816,406,523,850,75,165,117,0,0,three
647,795,772,444,469,69,40,201,0,1,has
829,357,370,838,675,120,215,174,0,1,nine
680,816,616,581,636,122,55,59,1,1,q
895,495,738,708,925,41,96,159,0,1,p
444,402,452,401,751,105,128,207,0,0,outside
608,830,766,486,423,49,62,208,0,0,has
375,617,886,538,391,204,216,49,0,1,old
653,569,560,809,698,48,216,109,0,1,o
701,891,416,427,763,61,203,79,0,0,i
453,618,517,409,892,208,225,24,1,0,n
412,364,810,501,407,104,66,99,1,1,no
600,392,867,864,684,137,83,219,0,0,home
494,687,594,633,541,131,57,143,0,0,where
624,386,603,578,892,56,99,90,1,0,eight
443,515,780,533,649,152,220,164,0,1,water
600,611,559,418,509,201,199,211,0,0,hour
478,457,837,866,475,51,107,213,0,1,k
401,880,478,600,445,74,106,144,0,1,hours
786,881,533,758,425,54,168,211,0,0,take
632,878,536,663,360,117,17,125,1,0,opposite
487,399,796,595,745,25,58,155,0,1,eat
789,817,369,378,455,130,73,108,0,0,of
598,601,797,332,582,136,101,80,1,0,what
371,671,642,662,475,56,53,134,0,0,l
545,799,427,752,697,184,56,85,1,1,one
442,868,804,891,619,162,172,25,1,0,their
879,465,450,408,905,42,169,131,1,1,heavy
412,532,785,575,497,94,172,165,1,0,fifty
478,428,755,543,878,131,188,220,0,0,apple
563,421,740,504,867,125,195,194,1,0,apple
498,568,516,384,430,224,224,37,1,1,them
744,745,750,515,852,184,36,211,0,0,v
527,831,439,889,482,201,158,71,1,0,head
590,606,685,383,746,148,223,59,1,0,t
520,690,553,594,518,149,34,141,1,0,where
676,737,502,790,840,146,165,157,0,1,happy
639,566,560,782,649,17,204,103,0,1,o
549,442,739,556,907,95,179,216,1,1,apple
648,844,575,540,626,110,48,68,1,0,q
849,799,599,576,829,247,85,249,1,0,years
657,764,620,702,897,210,71,52,0,0,thank
382,514,610,397,868,245,231,159,0,1,when
502,664,695,422,456,115,96,145,1,0,u
850,325,527,776,547,181,65,209,1,0,how
697,733,475,455,435,14,31,205,0,1,house
512,349,419,363,712,114,127,228,1,0,outside
654,439,474,491,645,135,75,215,0,1,why
605,551,684,432,716,189,224,78,1,0,t
919,392,643,574,629,215,32,226,1,0,m
861,434,631,599,671,176,25,245,1,0,m
653,395,837,856,644,126,94,211,0,0,home
654,412,559,591,855,70,46,38,1,0,other
608,620,569,421,479,190,202,211,0,0,hour
602,535,525,389,415,223,110,196,0,0,six
725,846,423,462,762,49,186,69,1,0,i
462,485,737,525,709,105,200,187,1,1,water
593,538,529,376,459,217,121,170,0,0,six
441,872,792,886,632,161,196,17,1,0,their
617,579,496,599,840,83,71,69,0,1,hands
658,391,448,460,602,126,76,221,0,1,why
648,391,608,632,892,62,13,60,1,1,other
730,852,466,773,401,166,37,132,1,1,yes
478,438,797,557,686,121,179,208,0,1,water
448,865,451,526,411,62,127,113,0,1,hours
372,735,376,729,555,112,121,41,0,1,hello
414,776,823,820,464,163,211,221,0,1,two
651,393,808,865,681,97,77,185,0,0,home
689,697,437,457,461,32,20,191,0,1,house
508,639,746,428,459,94,81,153,1,0,u
375,651,363,710,591,147,125,48,0,1,hello
510,446,459,591,497,38,177,119,0,1,yesterday
439,595,508,400,865,190,238,47,0,0,n
468,879,809,878,410,78,144,205,0,0,twenty
775,388,733,410,503,142,209,90,1,0,year
658,723,508,818,861,127,195,134,0,1,happy
883,580,855,600,723,24,157,84,0,0,four
405,621,512,447,890,183,240,34,0,0,n
608,628,501,853,393,72,85,41,1,1,age
523,541,426,435,441,225,239,46,1,1,them
878,588,608,802,482,216,17,221,1,1,j
512,417,743,585,765,37,50,123,0,1,eat
472,624,436,381,486,54,190,174,1,0,her
830,461,750,736,859,36,106,157,0,1,p
793,760,733,540,876,197,44,189,0,1,v
421,890,874,940,335,66,129,184,0,1,twenty
523,605,745,547,798,42,235,37,0,0,which
386,690,360,740,572,109,122,52,0,1,hello
860,477,850,407,643,49,187,172,1,0,hate
441,499,761,497,715,144,199,176,0,1,water
589,587,531,612,855,86,78,84,0,1,hands
587,505,504,391,444,221,111,183,1,0,six
566,486,508,561,532,46,175,80,0,0,yesterday
613,780,717,526,812,32,180,42,1,0,drink
427,765,698,806,653,64,117,102,0,1,sixty
738,401,623,869,573,52,78,50,0,1,h
371,866,353,477,832,217,66,159,1,0,ten
382,675,814,426,420,100,193,73,1,1,hand
674,374,448,523,596,139,64,240,0,1,why
837,844,601,590,814,228,98,236,1,1,years
354,802,790,500,341,57,84,118,1,1,a
378,874,470,526,444,95,116,145,0,1,hours
552,854,437,899,449,200,179,63,1,0,head
470,848,837,874,630,149,166,25,1,0,their
514,621,667,489,880,58,196,51,0,0,seven
790,535,509,661,781,51,74,47,0,0,c
421,461,375,349,488,33,44,33,1,0,e
815,508,480,668,740,71,52,80,0,0,c
438,891,805,931,374,81,119,198,0,0,twenty
791,631,805,756,728,170,199,195,1,1,z
530,823,431,543,638,185,122,154,1,1,s
810,823,600,554,838,226,104,223,1,1,years
838,352,343,829,820,222,170,85,1,0,he
684,817,575,573,652,113,60,67,1,0,q
494,646,686,514,840,53,214,47,0,0,seven
747,842,376,455,761,34,167,72,0,0,i
491,626,415,357,478,68,205,182,1,0,her
882,567,850,613,735,24,127,83,1,0,four
574,616,707,406,718,177,225,59,1,0,t
541,635,701,397,429,99,97,131,1,0,u
577,632,422,658,902,8,103,34,0,0,w
372,357,795,456,416,118,72,119,1,1,no
465,883,847,867,445,67,130,205,0,0,twenty
792,879,413,632,460,93,166,218,1,1,once
774,845,417,577,410,54,49,160,0,1,five
813,546,533,695,760,51,69,58,0,0,c
715,473,501,870,788,205,58,206,0,1,half
375,835,796,498,382,71,95,127,1,1,a
909,475,467,409,850,35,161,123,1,0,heavy
535,823,400,702,673,156,31,82,0,1,one
763,567,731,758,764,182,200,193,1,1,z
458,459,745,522,669,140,207,178,0,1,water
675,758,661,487,864,31,172,21,1,1,drink
722,442,711,682,431,202,35,142,0,0,or
405,419,387,393,450,45,41,30,0,0,e
679,340,644,889,606,22,63,42,0,1,h
451,539,838,654,882,18,198,91,0,0,him
385,371,348,357,482,23,50,37,1,0,e
563,521,528,389,500,203,102,184,0,0,six
433,839,448,528,918,95,143,91,0,0,three
610,557,534,602,786,93,77,81,1,1,hands
819,508,743,819,808,237,186,119,1,0,food
686,354,642,903,604,32,86,33,0,1,h
663,823,490,461,740,40,194,90,0,0,i
482,773,763,827,650,81,149,62,0,1,sixty
888,579,579,813,531,194,22,204,1,1,j
671,790,662,689,868,208,67,80,0,1,thank
649,803,588,529,626,124,63,70,1,0,q
882,416,654,575,626,183,34,222,1,0,m
464,893,756,867,607,131,189,19,1,1,their
370,503,652,379,855,244,240,179,0,1,when
509,802,481,562,581,183,163,171,1,1,s
470,854,800,851,574,158,189,7,1,0,their
787,820,573,568,842,229,115,223,1,1,years
538,706,512,603,531,167,36,168,0,0,where
418,436,400,405,467,33,46,43,1,0,e
398,751,802,767,489,147,238,175,0,1,two
603,548,441,399,469,197,102,166,0,0,six
631,770,542,499,691,204,59,118,1,0,g
762,838,413,462,790,63,198,81,0,0,i
660,583,711,435,758,183,221,67,1,0,t
414,591,824,427,619,197,204,163,1,0,x
409,341,801,480,348,114,67,88,1,1,no
669,641,509,847,351,25,76,37,1,1,age
536,491,887,880,424,79,81,195,0,1,k
596,392,569,606,826,106,101,63,1,0,eight
506,623,459,404,534,71,219,183,1,0,her
505,610,675,509,809,42,227,60,0,1,seven
789,433,765,378,501,123,222,104,1,0,year
678,813,632,555,647,135,69,59,1,0,q
647,765,724,483,828,38,153,42,1,0,drink
399,547,819,630,505,88,139,172,1,0,fifty
712,863,419,408,761,51,192,80,0,0,i
503,506,882,890,416,49,90,183,0,1,k
689,439,734,677,463,206,52,128,1,0,or
454,409,806,596,756,45,49,139,0,1,eat
727,436,733,669,448,218,56,139,0,0,or
873,835,566,596,815,230,109,230,1,1,years
647,725,521,477,771,208,57,109,1,0,g
409,883,492,559,430,82,111,149,0,1,hours
445,493,817,706,850,49,174,114,0,1,him
711,833,429,462,787,41,195,79,0,0,i
404,573,836,607,553,117,169,159,1,1,fifty
426,839,405,521,878,73,170,106,0,0,three
812,532,772,745,796,177,236,189,1,1,z
853,353,537,777,506,132,72,201,1,0,how
749,816,434,630,456,130,163,215,1,1,once
623,425,822,865,652,124,79,189,0,0,home
873,541,827,621,760,19,152,110,0,0,four
799,540,766,769,761,183,198,182,1,1,z
497,533,426,362,458,230,242,47,1,1,them
438,761,800,778,498,157,216,203,0,1,two
511,431,715,521,865,122,198,203,1,0,apple
436,591,472,761,408,207,172,22,1,1,thirty
828,408,641,650,543,94,241,92,0,0,you
373,486,816,579,626,205,106,176,1,1,d
776,375,345,816,762,108,201,172,0,1,nine
554,645,403,404,478,64,222,187,1,0,her
668,729,621,732,804,193,90,71,0,1,thank
694,803,490,837,839,93,181,43,1,1,b
511,522,481,418,429,236,232,52,1,1,them
403,415,322,374,485,26,56,35,1,1,e
868,408,477,426,870,37,157,123,1,0,heavy
393,447,788,519,624,196,97,190,1,1,d
732,513,648,810,840,212,161,129,1,1,food
692,829,601,554,644,119,58,28,1,0,q
590,864,585,610,356,117,29,126,0,0,opposite
457,571,842,702,872,39,195,87,0,1,him
571,385,612,389,504,74,54,206,0,0,hungry
818,889,532,772,388,63,152,231,0,0,take
689,818,431,852,779,77,195,68,1,1,b
624,654,774,357,613,117,91,64,1,1,what
362,872,307,411,833,206,53,125,1,0,ten
669,782,488,840,853,106,185,15,1,1,b
652,829,408,841,814,101,185,47,1,1,b
887,834,619,429,377,169,223,109,0,1,have
899,832,635,450,400,160,189,86,0,1,have
799,556,706,819,837,207,184,122,0,1,food
670,407,844,847,670,125,63,210,0,0,home
783,865,471,550,461,82,86,164,0,1,five
595,608,533,594,401,32,203,51,0,1,time
679,720,456,846,860,125,203,136,0,1,happy
884,576,576,809,488,209,28,184,1,1,j
805,893,718,388,718,165,57,124,1,0,r
822,408,726,370,505,125,217,77,1,0,year
612,821,745,446,448,49,34,206,0,1,has
777,554,745,738,813,191,195,199,1,1,z
700,528,723,558,403,79,106,40,1,0,hat
523,757,575,638,498,156,17,153,1,0,where
431,641,820,387,597,193,196,167,1,0,x
579,520,502,400,445,211,113,171,0,0,six
391,667,334,704,602,147,114,31,1,1,hello
813,499,870,405,637,59,203,150,1,0,hate
347,704,832,424,418,106,197,66,1,1,hand
862,795,603,451,370,169,170,110,0,1,have
676,415,472,486,643,122,63,228,0,1,why
447,504,750,521,700,150,195,175,0,0,water
723,441,710,683,425,217,51,119,0,0,or
376,442,757,554,654,189,85,199,1,0,d
531,466,859,860,428,63,94,195,0,1,k
657,508,585,813,649,38,209,94,0,1,o
396,427,393,384,466,47,8,54,1,0,e
857,509,868,426,635,63,207,151,1,0,hate
651,562,492,831,354,69,75,48,1,1,age
605,750,540,472,711,212,84,104,1,0,g
799,446,682,659,524,91,222,99,0,0,you
374,910,370,415,826,213,55,149,1,0,ten
667,736,477,830,883,128,180,139,0,1,happy
684,543,759,567,372,73,88,59,1,0,hat
561,680,647,412,454,95,93,143,1,0,u
658,634,509,838,373,45,74,42,1,1,age
866,462,874,390,644,56,197,181,0,0,hate
700,462,508,874,826,240,70,164,0,1,half
836,487,887,426,643,68,197,162,1,0,hate
655,638,535,856,393,38,90,36,1,1,age
831,902,460,540,445,52,91,169,0,1,five
488,668,521,388,667,137,19,177,0,1,your
499,667,489,378,665,141,32,177,0,1,your
669,374,604,869,594,25,77,60,0,1,h
412,557,795,580,480,121,160,145,1,0,fifty
487,596,472,415,487,240,246,30,1,1,them
337,923,348,450,872,214,51,145,1,0,ten
789,830,412,648,499,92,170,210,1,1,once
348,845,802,493,385,84,83,112,1,1,a
741,753,757,553,847,218,34,203,0,1,v
721,803,461,449,802,58,165,104,0,0,i
565,642,673,458,414,99,96,130,1,0,u
886,810,640,406,375,193,197,76,0,1,have
543,584,698,406,756,167,239,85,1,0,t
646,384,825,829,647,106,83,214,0,0,home
393,855,470,530,465,90,121,120,1,0,hours
512,714,512,601,564,168,51,133,1,0,where
582,545,485,391,452,226,92,199,0,0,six
571,502,506,366,450,208,119,198,0,0,six
647,703,482,864,841,139,200,155,0,1,happy
380,465,553,727,539,102,224,219,1,0,hair
512,582,455,403,474,222,211,37,1,0,them
716,480,408,922,452,91,99,66,1,1,y
844,333,530,769,512,164,58,232,1,0,how
374,741,863,417,422,115,208,64,1,1,hand
817,390,347,858,754,102,199,164,0,1,nine
379,694,595,656,459,53,51,120,0,0,l
772,495,721,793,858,244,160,115,1,0,food
627,802,715,521,872,24,156,26,1,0,drink
881,435,475,408,816,50,159,125,1,0,heavy
895,444,629,602,567,193,29,219,1,0,m
488,662,435,357,539,56,200,192,0,0,her
556,429,735,512,882,110,170,224,1,0,apple
894,365,349,792,817,239,164,82,1,0,he
690,880,465,741,416,154,24,146,1,1,yes
741,847,444,464,795,37,190,101,0,0,i
456,476,736,559,676,124,187,191,0,1,water
414,778,855,780,465,159,216,197,0,1,two
845,494,841,461,636,62,183,147,1,0,hate
505,616,644,479,847,51,212,47,1,0,seven
566,488,543,588,494,70,197,112,1,0,yesterday
920,841,658,436,445,193,206,96,0,1,have
843,828,644,593,813,244,95,213,1,1,years
482,864,426,525,871,72,174,96,0,0,three
498,773,706,836,581,77,142,73,1,1,sixty
768,427,490,854,821,212,84,164,0,1,half
662,740,502,882,851,151,196,144,1,1,happy
304,444,572,781,526,109,200,186,0,0,hair
411,519,661,378,827,233,223,177,0,1,when
667,607,493,850,417,37,73,46,1,1,age
586,757,506,470,702,195,95,121,1,1,g
840,333,388,788,817,232,163,85,1,0,he
459,517,800,692,889,44,214,90,0,1,him
550,500,503,409,492,207,105,175,0,0,six
539,908,460,860,488,210,197,44,1,0,head
800,861,475,590,442,77,91,173,0,1,five
676,640,494,859,366,36,77,33,1,1,age
642,391,886,860,697,102,80,191,0,0,home
370,868,305,437,820,203,79,164,1,0,ten
892,588,856,626,684,30,162,95,0,1,four
323,671,381,731,600,127,118,53,0,1,hello
408,582,788,401,620,228,184,160,1,0,x
481,681,529,424,666,154,19,193,0,1,your
662,652,520,856,368,41,87,53,1,1,age
797,852,379,423,413,110,67,99,0,0,of
621,807,775,444,477,44,57,194,0,0,has
386,547,788,638,486,97,168,165,1,0,fifty
672,781,739,503,846,16,172,12,1,0,drink
424,612,851,430,566,247,217,171,1,0,x
702,442,660,669,427,220,64,133,0,0,or
798,896,537,741,438,59,173,209,0,0,take
380,691,618,678,431,36,38,113,0,0,l
631,515,442,907,404,104,72,72,1,1,y
569,917,492,702,341,113,47,131,1,0,opposite
764,392,326,832,758,115,201,184,0,1,nine
584,680,731,410,402,122,116,146,1,0,u
626,346,576,607,931,68,90,74,1,0,eight
359,845,789,512,377,49,82,139,1,1,a
529,536,545,365,444,234,127,198,0,0,six
714,756,649,712,863,196,98,82,0,1,thank
661,716,478,810,819,133,201,149,0,1,happy
642,733,438,838,877,132,201,154,0,1,happy
488,378,515,391,709,86,145,215,0,0,outside
502,406,782,567,725,48,48,126,0,1,eat
687,859,477,721,401,182,30,129,1,1,yes
432,631,787,412,574,191,200,176,1,0,x
666,447,426,858,405,88,106,73,0,1,y
722,531,742,536,335,82,88,46,1,0,hat
526,650,432,363,515,58,198,189,1,0,her
703,798,445,852,883,96,198,63,1,1,b
759,601,738,790,784,216,207,186,0,1,z
388,894,367,397,780,217,62,146,1,0,ten
772,862,401,382,421,108,104,99,0,1,of
730,715,724,552,832,190,37,197,0,1,v
531,466,816,579,742,35,55,134,0,1,eat
608,416,817,831,629,95,79,175,0,0,home
413,693,364,721,579,141,113,34,0,1,hello
664,852,688,429,473,82,30,188,0,0,has
514,393,784,563,768,51,56,160,0,1,eat
798,580,745,712,744,181,218,202,1,1,z
541,466,757,542,855,118,187,228,1,0,apple
521,804,424,572,606,183,122,138,1,0,s
519,793,461,545,594,158,173,173,1,1,s
526,603,695,409,465,105,103,136,1,1,u
518,778,414,578,632,158,155,157,1,1,s
646,769,608,714,832,194,94,70,0,1,thank
697,534,742,590,342,78,116,44,1,1,hat
828,783,601,587,819,223,110,243,1,1,years
628,567,582,812,670,28,201,76,0,1,o
703,399,481,521,620,126,64,225,0,1,why
771,533,730,746,761,178,195,200,1,1,z
383,384,391,350,497,9,53,45,1,0,e
841,552,550,664,779,73,57,58,0,0,c
552,707,533,554,574,158,36,164,0,0,where
605,354,585,578,813,81,112,78,1,0,eight
818,532,509,655,802,53,86,72,0,0,c
740,763,750,506,820,228,14,204,0,1,v
